ticker,E_score,S_score,G_score,ESG_score,Sectors,Market_Cap,Beta_1Y
CHCO,50.35,2.08,90.78,47.74,Financials,1185233173,0.54645991
COLL,32.07,54.03,46.45,44.18,Health Care,542091905,0.553198479
BRCN,0.56,15.02,52.18,22.59,Utilities,77132169.57,1.238246499
CSGS,41.44,95.57,66.72,67.91,Information Technology,1965078553,0.574076377
CYTK,72.19,66.44,55.47,64.7,Health Care,3414172364,1.154103805
CDMO,72.29,30.98,8.92,37.39,Health Care,887266309.5,1.554402427
CECE,53.34,73.1,29.58,52.01,Industrials,166611565.2,1.000477589
CBTX,30.6,38.93,85.01,51.51,Financials,714077873.1,0.649865807
CIZN,20.77,19.58,28.17,22.84,Financials,101443151.6,0.00994997
CRIS,8.51,30.98,24.06,21.18,Health Care,90802231.61,0.703050702
CMCO,93.67,99.01,98.13,96.94,Industrials,1023140420,1.037813167
CVLT,70.11,78.67,59.32,69.37,Information Technology,2705658548,1.065088141
CODA,14.94,42.43,11.14,22.84,Information Technology,61668867.6,0.349098216
CNCE,16.11,30.98,44.28,30.45,Health Care,116253894.4,1.172023328
CERN,71.23,94.43,63.63,76.43,Health Care,27592283179,0.16110164
CYBE,62.46,54.03,28.22,48.24,Information Technology,329715500.8,1.096308227
CPHC,43.62,12.01,2.89,19.5,Consumer,145337114.9,0.072552087
BWFG,25.53,30.98,74.82,43.78,Financials,278632034.2,0.38478182
CRUS,98.13,93.03,81.46,90.87,Information Technology,4491527411,1.157279955
CLRB,12.74,66.44,20.06,33.08,Health Care,32444764.28,1.143349926
CAC,33.03,38.93,93.06,55.01,Financials,656952565.5,0.53909382
CTRE,92.1,75.58,33.69,67.12,Financials,1579931981,0.774938891
CATY,51.17,30.98,68.9,50.35,Financials,3051180405,1.04653977
CRAI,39.01,72.04,21.28,44.11,Industrials,607118540,0.935893464
CSX,83.13,91.74,86.47,87.12,Industrials,74555373754,0.823159957
CVBF,55.02,63.8,99.34,72.72,Financials,3294222132,0.511272647
CG,79.79,75.58,3.14,52.84,Financials,13399747863,1.773193429
CARG,38.75,54.03,17.48,36.75,Communication Services,3972181160,1.839980445
BSRR,29.69,21.99,98.18,49.95,Financials,330685821.4,0.629805168
CCB,27.36,19.58,67.58,38.17,Financials,532139035.7,1.00858078
CNDT,96.1,87.72,44.63,76.15,Information Technology,1185824299,1.225077602
CCOI,77.71,78.32,51.98,69.33,Communication Services,2879428926,0.738610598
CSII,47.32,75.58,79.28,67.39,Health Care,809956081.5,1.14509068
CMCSA,94.12,96.66,59.27,83.35,Communication Services,1.81217E+11,0.688283488
BOKF,42.65,30.98,94.68,56.1,Financials,5771250071,0.981859967
CZNC,27.3,2.08,98.83,42.74,Financials,367503743.7,0.609292914
CHRW,69.4,90.55,97.37,85.77,Industrials,13782924803,0.480570754
CJJD,19.55,12.01,14.18,15.25,Consumer,7202184.12,1.496112535
CDNA,28.06,54.03,25.23,35.77,Health Care,1733360581,2.108301416
COFS,25.23,19.58,4.46,16.42,Financials,182077329.7,0.154283946
BRID,21.53,81.64,0.41,34.52,Consumer,113914241.6,0.292777152
COLM,88.86,97.16,44.38,76.8,Consumer,5212053888,1.119091629
BXRX,1.72,54.03,61.96,39.24,Health Care,10324896.19,0.648089541
CHDN,40.37,12.01,46.56,32.98,Consumer,8112738291,1.312421022
CERS,23.45,66.44,51.32,47.07,Health Care,851828720.1,1.540987097
CPIX,16.51,66.44,13.83,32.26,Health Care,35468388.7,0.611214971
CVLY,52.58,30.98,42.15,41.9,Financials,226099440,0.252235228
CRMD,0.35,22.87,47.21,23.48,Health Care,136709765.9,0.840752276
CELC,9.7,16.13,8.76,11.53,Health Care,95639135.82,1.475520821
CYBR,86.73,8.59,23.66,39.66,Information Technology,6357550467,1.317167849
CTRN,73.71,54.03,97.67,75.14,Consumer,269604034,2.120588713
CLRO,59.42,30.98,22.24,37.55,Information Technology,16359391.98,0.757876633
CCBG,33.49,16.13,78.52,42.71,Financials,444211924.6,0.517792993
CGC,33.13,77.91,22.39,44.48,Health Care,2386256754,1.948559912
CASA,64.49,30.98,24.11,39.86,Information Technology,486900658.1,1.492602068
CACC,68.49,19.58,73.96,54.01,Financials,6800520507,0.959458021
CRVL,37.23,54.03,51.67,47.64,Health Care,2741575151,0.802389433
CCRN,55.72,83.84,80.29,73.29,Health Care,656588457.8,1.431599578
BSVN,21.94,63.8,29.13,38.29,Financials,217994398,0.670560696
CTAS,81.21,99.29,56.48,78.99,Industrials,40056109660,0.987237297
CRBP,1.52,41.13,48.63,30.43,Health Care,42282165.43,1.28316413
CNET,45.69,23.73,1.93,23.78,Communication Services,17005284.96,1.16652025
CZR,95.44,73.35,62.77,77.19,Consumer,14653920054,1.961492019
CSIQ,92.71,95.57,6.03,64.77,Information Technology,1784052687,1.369119598
CBAN,49.8,19.58,86.42,51.93,Financials,299143524.3,0.259237568
CVT,62.41,8.59,8.66,26.55,Information Technology,3228369316,0.789337526
CVCO,68.34,70.74,60.54,66.54,Consumer,2231150650,1.370932344
CMCT,76.14,21.99,0.61,32.91,Financials,164052703.6,0.1946447
CERT,8.11,5.17,35.03,16.1,Health Care,3062224597,1.705401351
COHR,89.51,95.57,81.76,88.95,Information Technology,6663661564,0.46206126
CKPT,0.71,30.98,12.06,14.58,Health Care,119067789,1.353334687
CHTR,82.83,69.88,51.82,68.18,Communication Services,80170696420,0.550499094
CPRT,67.27,80.4,26.49,58.05,Industrials,27302689953,1.394548279
CDNS,69.15,87.72,80.19,79.02,Information Technology,41498971910,1.564866502
BYFC,15.5,2.08,62.97,26.85,Financials,107253751.9,0.960015921
CLSD,15.86,30.98,23,23.28,Health Care,99243569.7,1.092137957
BRKL,36.52,30.98,98.68,55.4,Financials,1129393683,0.6867954
CTSH,99.7,93.03,99.14,97.29,Information Technology,42042880381,0.965130619
CHEF,70.62,88.8,73.61,77.68,Consumer,1423764074,1.211341212
CYCC,12.74,66.44,26.75,35.31,Health Care,18887025.15,1.214154701
CRMT,67.53,30.98,76.85,58.45,Consumer,544731093.2,1.115650994
CELH,23.2,17.58,27.2,22.66,Consumer,4064602019,2.543959329
CNOB,36.07,54.03,81,57.03,Financials,1090409053,0.673454636
DBX,84.75,54.03,22.95,53.91,Information Technology,8360968776,1.247704737
BSY,68.24,8.59,45.67,40.83,Information Technology,13122392820,1.416165124
BOOM,90.22,83.84,85.16,86.41,Utilities,380201425.5,1.222669262
CGEN,4.66,5.17,25.53,11.79,Health Care,201450057.2,1.544240912
COMM,69.81,98.48,33.49,67.26,Information Technology,1302927299,1.673432469
CTBI,34.3,38.93,77.61,50.28,Financials,717506080,0.559728119
CZWI,24.52,30.98,14.54,23.35,Financials,133059649.4,0.301179087
CME,82.57,93.92,100,92.16,Financials,77915630578,0.66587414
CRDF,0.91,54.03,19.1,24.68,Health Care,62360727.84,1.873494863
CHK,84.04,80.83,97.87,87.58,Utilities,10525888284,0.611966333
CSTE,36.68,54.03,18.64,36.45,Industrials,326804703.6,0.867013869
CRVS,12.74,41.13,19.15,24.34,Health Care,63312774.96,0.803038006
COHU,86.37,72.95,85.97,81.76,Information Technology,1327228846,1.99650449
CASH,73.61,2.08,88.7,54.8,Financials,1272585659,1.285508537
CBAT,86.02,19.58,13.07,39.56,Industrials,101123718.2,1.863141263
CAKE,89.72,79.58,98.94,89.41,Consumer,2078201434,1.224966526
CVV,58.66,54.03,17.38,43.36,Information Technology,29338169.68,0.628397258
CTSO,17.07,54.03,18.39,29.83,Health Care,103242222,1.112047624
CETX,59.93,8.59,50.96,39.83,Information Technology,9772301.088,1.228459036
CVCY,25.08,30.98,92.3,49.45,Financials,227178202.6,0.461877209
CYCN,3.95,54.03,66.62,41.53,Health Care,31595647.39,1.587256392
CLAR,50.76,43.95,21.63,38.78,Consumer,853176578.3,1.361535906
CPRX,72.34,54.03,47.67,58.01,Health Care,802437770.5,1.014707046
DGICA,68.06,38.93,85.79,64.26,Financials,427191680.3,0.421352798
CDTX,47.01,54.03,40.12,47.05,Health Care,48003210.31,1.384230594
CHUY,50.2,54.03,44.78,49.67,Consumer,484468343.6,1.312538949
CRDL,0.15,77.91,7.5,28.52,Health Care,86076443.61,1.580908482
DNLI,18.79,54.03,36.42,36.42,Health Care,3090775574,1.505689558
DISCK,87.23,89.01,73.4,83.22,Communication Services,8062354648,0.955466481
DRVN,40.88,13.88,50.53,35.1,Industrials,4757193944,1.280531684
CGNT,62.31,8.59,31.91,34.27,Information Technology,463129870.3,0.897918496
CRNC,66.51,8.59,45.67,40.26,Information Technology,1193013631,1.763222559
BRKR,56.94,5.17,86.07,49.39,Health Care,8657442964,1.196521709
DAIO,58.61,8.59,50.96,39.39,Information Technology,27936475.56,0.718552121
CTG,51.01,54.03,74.77,59.94,Information Technology,142978567.4,0.451997844
CSTL,47.11,30.98,55.32,44.47,Health Care,625936896.8,1.903881917
DCOM,37.64,38.93,96.1,57.56,Financials,1242987134,0.753372507
CYN,27.2,8.59,13.78,16.52,Information Technology,155318179.1,-0.472690156
DXPE,37.03,72.04,49.59,52.89,Industrials,440850407.1,0.811834152
BTAI,12.74,66.44,2.74,27.3,Health Care,390325812.7,1.426933439
CRWD,67.83,8.59,45.67,40.7,Information Technology,46995874689,1.490401166
EBIX,68.39,54.03,38.45,53.62,Information Technology,938270062,2.158570054
ENTG,96.15,75.58,86.22,85.98,Information Technology,15735261127,1.763541335
EFSC,82.98,85.99,99.09,89.35,Financials,1650929526,0.783320747
CEMI,43.82,54.03,46.86,48.24,Health Care,17292625.96,1.427575302
CHX,72.75,80.83,72.04,75.2,Utilities,4352773824,1.142428168
CHKP,68.54,42.43,40.27,50.41,Information Technology,16467717517,0.654942516
CTXS,98.02,78.67,76.7,84.46,Information Technology,12591315200,0.437138291
CVET,74.62,86.47,91.95,84.35,Health Care,1996291540,1.440430037
EVBG,66.36,30.98,14.24,37.19,Information Technology,1843408623,0.961445822
DSGX,89.31,78.67,71.88,79.96,Information Technology,5269265282,1.006249935
CONE,85.36,54.03,5.17,48.18,Financials,11707338884,0.13431143
DOCU,77.15,83.84,42.86,67.95,Information Technology,17157703672,2.08044605
CBAY,11.04,41.13,19.45,23.88,Health Care,189678583.4,0.876492047
EMCF,18.95,30.98,98.38,49.43,Financials,96607687.84,0.426742431
CWCO,58.51,75.58,84.25,72.78,Utilities,162289315.5,0.306219599
EXPO,66.16,23.99,64.08,51.41,Industrials,4857757440,0.93848716
FARO,93.36,83.84,68.39,81.86,Information Technology,655766838.1,1.046109502
DAKT,34.9,54.03,81.61,56.85,Information Technology,150948305.2,0.733040577
EWBC,42.6,54.03,66.67,54.43,Financials,10431670612,1.436015651
CREG,18.14,54.03,7.7,26.62,Industrials,29618117.22,1.09998402
DGICB,68.06,38.93,85.79,64.26,Financials,425297807.5,0.172963071
DISH,46.45,10.56,3.39,20.14,Communication Services,14669358342,1.095414593
ERII,84.95,54.03,65.5,68.16,Industrials,1060839674,1.32052357
CTHR,18.09,54.03,73.2,48.44,Consumer,41976373.93,0.952742355
FEIM,60.44,54.03,72.49,62.32,Information Technology,71762629.96,0.195551143
EPAY,85.01,54.03,49.44,62.83,Information Technology,2553375684,0.469231665
DCPH,48.18,66.44,32.52,49.05,Health Care,720615133.5,1.069914862
FBRX,11.04,5.17,37.01,17.74,Health Care,16975450.15,1.335469367
DXYN,32.32,70.74,35.97,46.34,Consumer,44233341.6,1.562225913
CRON,19.5,75.58,61.9,52.33,Health Care,1174688937,1.634055568
FITB,46.05,2.08,97.11,48.41,Financials,25886054700,1.18027807
EGAN,62.21,75.58,11.55,49.78,Information Technology,327848938.1,0.776681516
EVER,34.55,43.29,15.65,31.16,Communication Services,463676741.1,1.043703975
EBMT,49.75,30.98,94.28,58.33,Financials,161828140,0.267043537
CYRX,90.58,66.44,75.43,77.48,Health Care,1164875107,2.079351098
DALN,29.99,10.56,43.01,27.85,Communication Services,35326599,0.414124537
DOMO,65.45,30.98,5.12,33.85,Information Technology,1463319710,2.176315889
CRWS,21.63,12.01,77.76,37.13,Consumer,62598166.2,0.257031026
FNWD,23,54.03,90.27,55.77,Financials,168416013.9,0.251498821
EMKR,81.76,8.59,58.56,49.64,Information Technology,134199331.2,1.693343817
EXTR,93.92,30.98,29.18,51.36,Information Technology,1299198511,1.834319174
FLIC,72.59,2.08,98.53,57.73,Financials,403663042.9,0.439598018
FOX,97.64,79.15,31.64,69.48,Communication Services,19915717529,0.726885486
EXAS,77.25,54.03,49.54,60.28,Health Care,10108046570,1.341144065
CWST,94.63,88.68,54.05,79.12,Industrials,4006131742,0.659248571
FAST,77.61,75.58,85.36,79.52,Industrials,31655449980,0.76768196
CVGI,89.92,90.55,27.46,69.31,Industrials,237211106.4,1.168279415
FFWM,36.12,17.15,20.82,24.7,Financials,1244384526,0.92571327
FMBH,34.65,30.98,99.54,55.06,Financials,738804165.5,0.677413028
DCT,65.55,8.59,26.7,33.61,Information Technology,2193264537,1.001540693
DGII,86.68,8.59,24.21,39.83,Information Technology,664187999,1.239926853
DJCO,54.05,19.58,2.68,25.44,Communication Services,367223206.2,0.585827493
CONN,51.52,54.03,80.55,62.03,Consumer,375355798.7,1.713352286
DSKE,56.89,54.03,12.82,41.24,Industrials,544325357.1,1.320612327
CYT,11.04,5.17,12.72,9.64,Health Care,83211215.8,1.753874652
FELE,88.96,80.4,59.98,76.44,Industrials,3297019611,1.225641753
EPZM,17.02,41.13,14.59,24.25,Health Care,113046289.2,1.784801249
FCAP,18.49,30.98,99.9,49.79,Financials,122110937.1,0.274710611
DOOO,96.61,91.64,49.7,79.31,Consumer,6683834691,1.472605385
CXDO,59.83,42.43,15.7,39.32,Information Technology,60140801.7,0.51162515
FIVE,47.77,54.03,94.78,65.53,Consumer,9022682359,1.61646141
EGBN,37.34,54.03,64.79,52.05,Financials,1622900590,0.760372998
FSBW,72.49,54.03,30.19,52.24,Financials,236933987.1,0.574226297
ESCA,34.7,42.91,27.66,35.09,Consumer,178779863.4,1.081742927
FRGI,32.93,30.98,61.5,41.8,Consumer,172617896,0.984176988
EVFM,54.31,41.13,42.96,46.13,Health Care,29902264.91,1.232534422
FWONK,78.04,43.29,50.13,57.15,Communication Services,14317038404,0.794837902
FTNT,69.71,95.57,21.88,62.39,Information Technology,46801733231,1.988419588
FOXA,97.64,79.15,31.64,69.48,Communication Services,19915717529,0.706045673
EXC,87.49,15.02,82.07,61.52,Utilities,45723389557,0.42998052
DYN,8.79,5.17,18.14,10.7,Health Care,440088016,1.615006062
EBTC,31.86,54.03,98.07,61.32,Financials,417559986,0.616739775
EYE,45.09,75.58,67.83,62.83,Consumer,3103935729,1.179139725
FOCS,80.14,85.99,18.95,61.69,Financials,3107044875,1.300668335
FLL,27.86,54.03,45.29,42.39,Consumer,305125522.6,1.629120144
FMBI,72.9,63.8,42.65,59.79,Financials,11613679733,0.49293736
EML,63.12,23.99,48.99,45.36,Industrials,143699863.8,0.423491454
DCTH,3.55,54.03,26.04,27.87,Health Care,46333426.08,0.83468462
DTIL,45.59,54.03,13.02,37.55,Health Care,129401132.4,1.855419148
FATE,19.6,30.98,61.45,37.34,Health Care,2875327888,1.901280243
DKNG,39.72,12.01,55.85,35.86,Consumer,6126070763,2.027523042
CVGW,74.42,89.77,41.59,68.59,Consumer,631890000,0.452265046
GBNY,14.34,2.08,62.97,26.46,Financials,28196253.67,-0.051822731
CROX,89.77,97.16,32.57,73.17,Consumer,4369350788,2.060015989
FIVN,67.73,16.13,30.75,38.2,Information Technology,8073530320,1.171540737
FFBC,39.67,63.8,91.34,64.94,Financials,1965535632,0.966956332
EQ,8.79,5.17,59.42,24.46,Health Care,86375262.96,0.593600789
DHC,76.9,63.8,61.14,67.28,Financials,520998186.9,1.312327716
FCBC,29.58,30.98,60.08,40.21,Financials,459322655.7,0.761406405
FULC,14.74,30.98,18.74,21.49,Health Care,400015037.8,0.585137737
FWRD,85.71,54.03,89.72,76.49,Industrials,2666242335,1.284075985
DZSI,63.98,23.35,1.17,29.5,Information Technology,330151673.8,1.073940666
DORM,70.57,54.03,84.95,69.85,Consumer,3101422865,0.735810899
FOXF,52.38,83.84,17.68,51.3,Consumer,3587571816,1.562198314
EXEL,81.16,75.58,79.69,78.81,Health Care,7255331824,0.668935311
EGLE,57.85,72.04,17.53,49.14,Industrials,852812655.8,0.61249251
DDOG,39.97,8.59,45.67,31.41,Information Technology,37854960663,2.000642439
FGBI,28.32,30.98,54.81,38.04,Financials,262454334,0.327730786
FRHC,34.95,2.08,76.27,37.77,Financials,2833852291,1.347568858
EYES,12.74,19.58,23.81,18.71,Health Care,65025140.4,1.237312328
ECOL,83.49,72.85,76.49,77.61,Industrials,1512276429,0.928729891
GENC,61.5,13.88,0.35,25.24,Industrials,149361983.4,0.471925295
FLMN,48.53,30.98,62.56,47.36,Utilities,591313123.1,0.742171851
ENDP,91.13,83.84,5.78,60.25,Health Care,510196455.6,1.705581331
FB,85.21,89.01,70.06,81.43,Communication Services,5.71386E+11,1.903101795
FOLD,85.41,86.47,67.63,79.84,Health Care,1963870834,1.488685138
FMNB,31.05,63.8,37.34,44.06,Financials,527464080,0.497126391
FSFG,32.57,16.13,93.57,47.42,Financials,177596590,0.260490729
EVGN,57.19,54.03,31.21,47.48,Health Care,44463781.44,1.323708291
FIXX,16.57,54.03,37.44,36.01,Health Care,97555482.6,1.603625275
DVAX,44.12,54.03,37.89,45.35,Health Care,1174698522,1.539223481
ESGR,76.95,77.53,78.12,77.53,Financials,4362493168,0.499556169
FXNC,20.06,2.08,73.1,31.75,Financials,130370494.2,0.264997962
FRAF,23.1,17.15,97.32,45.85,Financials,142591840,0.15545822
EQBK,32.78,54.03,87.79,58.2,Financials,519271582.8,0.564928643
DLHC,34.6,13.88,57.07,35.18,Industrials,195859401.9,0.832653003
GMAB,88.04,83.84,74.52,82.13,Health Care,22882054482,0.868512382
GBT,29.79,30.98,76.14,45.63,Health Care,2089000083,1.13576852
FFHL,81.61,0.46,1.72,27.93,Utilities,20182872.66,0.603445229
EA,91.54,96.66,90.98,93.06,Communication Services,33746672160,0.417936843
EGRX,27.46,30.98,31.26,29.9,Health Care,566229057.9,0.405045079
ECOR,4.51,54.03,19.25,25.93,Health Care,29135894.69,0.863373706
EXLS,99.34,75.58,87.39,87.44,Information Technology,4508947297,0.916145828
FULT,41.03,63.8,95.19,66.68,Financials,2463450600,0.825839354
GILD,74.92,93.03,95.74,87.9,Health Care,75689050000,0.326192069
DENN,85.46,83.84,42.1,70.47,Consumer,818924238,1.12554398
FCCO,49.34,21.99,96.4,55.91,Financials,147507228,0.252131418
DOX,69.86,87.72,19.76,59.11,Information Technology,9763469100,0.650149285
COOP,68.59,63.8,26.55,52.98,Financials,3269605643,0.65132144
ENG,60.13,54.03,11.2,41.78,Utilities,44742957.25,1.32255029
EYPT,16.87,54.03,39.41,36.77,Health Care,408906007.3,0.89222652
DHIL,32.02,21.99,53.24,35.75,Financials,535795807.2,0.880467253
FNCB,22.19,21.99,98.73,47.64,Financials,163177632.6,0.105670658
EVLO,11.04,54.03,6.59,23.89,Health Care,131454585.9,1.580514948
FLNT,35.66,30.98,10.39,25.68,Communication Services,107787641.8,2.17390793
FIZZ,31,24.32,14.74,23.35,Consumer,4091825953,0.70292599
FGEN,47.21,30.98,48.83,42.34,Health Care,897473109.3,1.094624465
FONR,19.2,66.44,39.36,41.67,Health Care,121048364,0.611100485
FBIO,20.62,22.87,48.78,30.76,Health Care,109243842.1,1.690770276
FRBA,26.55,19.58,74.47,40.2,Financials,278813364.8,0.5583848
DWSN,52.53,30.98,7.09,30.2,Utilities,41698587.04,0.072424203
GEOS,75.79,72.67,26.24,58.23,Utilities,73995923.7,0.303229453
FSLR,99.85,83.84,91.69,91.79,Information Technology,7848859752,1.00168146
GABC,45.8,0.46,82.93,43.06,Financials,1050280028,0.746501688
GMBL,2.94,12.01,27.76,14.24,Consumer,23854681.66,3.076271105
EQIX,99.54,93.92,32.17,75.21,Financials,63932803507,0.686505616
FFIC,35.56,30.98,48.13,38.22,Financials,654408850,0.630014983
EAST,5.37,12.01,17.63,11.67,Consumer,14726363.81,1.266913544
EHTH,83.43,54.03,39.21,58.89,Financials,226761411.5,1.583178309
FUNC,24.37,17.15,93.82,45.11,Financials,146898475.3,0.342519402
GO,38.04,72.49,95.54,68.69,Consumer,3209043929,0.785475005
GCBC,23.15,30.98,46.91,33.68,Financials,439717833.1,0.465877736
FLUX,59.32,16.13,0.05,25.17,Industrials,41099645.6,1.351012524
FRME,38.91,21.99,84.4,48.43,Financials,2333911809,0.747574521
DLTH,38.8,54.03,82.47,58.43,Consumer,418775428.4,1.278368352
FORA,5.62,5.17,41.03,17.27,Health Care,111257094.7,0.822405328
DFFN,11.04,54.03,39.87,34.98,Health Care,14187904.32,1.026840581
EXPD,99.14,90.55,24.77,71.49,Industrials,16741480381,0.843125189
FCEL,60.99,54.03,75.48,63.5,Industrials,1569423634,1.730538335
EVO,79.18,89.16,43.36,70.57,Health Care,4250402725,1.688501595
EZPW,55.17,63.8,68.24,62.4,Financials,387780433.6,0.618445428
GLBZ,14.29,19.58,84.5,39.45,Financials,37245591.28,0.143863003
ESLT,89.16,91.95,48.58,76.56,Industrials,9264320219,0.536754755
DRIO,59.63,5.17,37.01,33.93,Health Care,111038182,1.74640196
ENPH,96.25,75.58,29.64,67.16,Information Technology,22729303471,1.826124311
ECPG,37.59,63.8,58.71,53.37,Financials,1412120499,0.448765167
DXCM,55.22,54.03,90.88,66.71,Health Care,39950992362,1.473987733
DIOD,91.49,83.84,50.41,75.24,Information Technology,3434901677,1.793779873
FBIZ,72.44,30.98,80.9,61.44,Financials,294261436.3,0.433189577
FNHC,76.65,75.58,78.17,76.8,Financials,7467286.04,1.470674315
GAIA,22.8,19.58,68.14,36.84,Communication Services,103875800,1.066165332
FFIN,38.6,30.98,39.72,36.43,Financials,5812646728,0.920337873
FROG,65.05,8.59,45.67,39.77,Information Technology,2147433249,1.343466544
GOCO,41.95,2.08,73.76,39.26,Financials,259531385.5,1.540422571
FGF,58.11,2.08,73.1,44.43,Financials,20889603.2,0.785341356
EBAY,90.43,97.16,90.48,92.69,Consumer,30151248774,0.88068329
FUSB,19.35,54.03,60.39,44.59,Financials,69876516.6,0.161728638
FSTR,82.47,89.31,92.81,88.2,Industrials,154306085.4,0.508235608
EXPE,87.89,89.77,44.02,73.89,Consumer,27462271837,1.375705988
GERN,2.13,19.58,78.67,33.46,Health Care,561826738.3,1.308146285
ERIC,69.91,8.59,90.53,56.34,Information Technology,27001096299,0.793063942
GNCA,2.33,30.98,71.73,35.01,Health Care,16057809.71,0.984463437
GDEN,38.96,45.44,18.84,34.41,Consumer,1417725473,1.643865537
FORM,90.32,87.72,26.09,68.04,Information Technology,3091473685,1.911351464
ENSG,56.64,66.44,66.16,63.08,Health Care,4388236791,0.760752983
EIGR,13.63,54.03,28.12,31.92,Health Care,243175590,1.087204349
FRBK,31.61,21.99,86.93,46.84,Financials,247927341.7,0.512006029
FLEX,99.95,95.57,71.38,88.96,Information Technology,7694551219,1.340613522
DLTR,95.59,97.16,78.37,90.37,Consumer,36853369930,0.639138498
EVOL,60.79,68.54,6.53,45.29,Information Technology,13319838.72,0.920253036
FANG,96.45,83.84,69.66,83.32,Utilities,22637700098,0.962041653
DXLG,35.71,75.58,77.2,62.83,Consumer,329221898.2,2.434939141
DRRX,13.78,30.98,65.81,36.85,Health Care,96952111.59,1.188250589
EDIT,15.6,30.98,60.59,35.72,Health Care,979490745.1,1.92418174
FCFS,42.05,54.03,36.32,44.13,Financials,3614885429,0.934870991
EBC,46.3,17.15,87.84,50.43,Financials,3448647767,0.787672862
FLWS,56.69,75.58,52.94,61.74,Consumer,690762479.8,1.37384481
GLDD,94.43,80.4,46.05,73.62,Industrials,908112290.8,0.693620524
ESPR,54.71,54.03,54.91,54.55,Health Care,361027926.9,0.923531108
GDRX,40.68,5.17,35.03,26.96,Health Care,5445532884,2.093176692
FNKO,39.11,54.03,51.52,48.22,Consumer,842832404.2,1.81714079
DISCA,87.23,89.01,73.4,83.22,Communication Services,4190787404,0.966851119
GPRE,55.98,24.21,83.43,54.54,Utilities,1680210673,1.382286643
GALT,12.74,66.44,33.64,37.61,Health Care,93191892.01,0.972426526
EXPI,68.9,30.98,0.76,33.54,Financials,2140861638,2.225282931
FBMS,44.07,38.93,84.6,55.87,Financials,668010306.3,0.752572965
GNLN,24.01,54.03,18.54,32.19,Consumer,37583285.47,1.790595097
FVCB,23.81,19.58,92.5,45.3,Financials,290628462.8,0.217783853
FREQ,47.57,30.98,37.94,38.83,Health Care,43720511.25,1.599460203
FSV,68.79,21.99,56.89,49.22,Financials,5624829260,1.058688604
FFIV,83.28,75.58,97.57,85.48,Information Technology,10414491600,1.137760622
GOGL,58.26,80.4,1.37,46.67,Industrials,2522616887,1.14705065
FRPH,59.78,38.93,37.74,45.48,Financials,519136949.8,0.699883632
EVOP,38.7,54.03,80.09,57.61,Information Technology,1125463813,1.136842875
FLGT,37.39,54.03,20.57,37.33,Health Care,1705594867,1.059518393
ERIE,84.25,63.8,95.64,81.23,Financials,8634625903,0.699925003
ENTA,23.96,30.98,82.78,45.91,Health Care,1317210254,0.776231482
ELDN,11.04,30.98,19.3,20.44,Health Care,40857660.36,0.825322091
DMRC,93.87,54.03,2.03,49.97,Information Technology,538694497.6,1.706242328
GSBC,34.19,30.98,81.56,48.91,Financials,727885842.9,0.609893346
FHB,53.6,30.98,72.39,52.32,Financials,3061967513,0.976436508
FORR,37.13,72.04,59.88,56.35,Industrials,1053435416,0.735770337
FARM,41.29,12.01,74.11,42.47,Consumer,115112377.9,1.269085632
GEVO,57.14,0.46,56.64,38.08,Utilities,771361105.6,2.037757405
FCNCA,42.71,2.08,75.28,40.02,Financials,10357779856,1.179680139
EEFT,43.16,75.58,86.17,68.3,Information Technology,6172433906,1.138426059
FNLC,43.87,77.53,85.06,68.82,Financials,305587663.9,0.6036773
GAME,16.97,10.56,24.47,17.33,Communication Services,20513136.73,1.74674809
GDS,84.7,78.67,2.99,55.45,Information Technology,6025321401,1.986188262
GTIM,24.16,12.01,60.79,32.32,Consumer,41710790.12,0.647966554
HAIN,95.24,89.77,59.93,81.64,Consumer,3065863436,0.563948737
DISCB,87.23,89.01,73.4,83.22,Communication Services,158825655.6,0.260550253
FTDR,87.08,54.03,37.49,59.53,Consumer,2620004388,0.590114008
HBIO,27.56,41.13,20.97,29.89,Health Care,228065213,1.151054312
FBNC,36.37,16.13,97.21,49.91,Financials,1341485422,0.859851515
HIVE,23.86,8.59,57.45,29.96,Information Technology,620926983.7,3.44855747
FRG,42.81,70.74,65.2,59.58,Consumer,1547189076,1.3122796
FFNW,21.78,30.98,39.82,30.86,Financials,151159251.4,0.238896776
GOGO,63.58,54.03,87.13,68.25,Communication Services,2066198116,0.67829076
FLXS,83.69,78.22,88.91,83.6,Consumer,124274448.8,1.121795914
GSHD,76.29,54.03,10.59,46.97,Financials,2197190300,1.980095651
GNSS,45.64,30.98,71.02,49.21,Information Technology,111135918.6,0.638162784
GPRO,55.12,89.77,74.01,72.97,Consumer,1390048629,1.450413497
HCM,74.11,54.03,0.15,42.76,Health Care,2114642459,1.317573913
HTZ,97.97,97.8,56.69,84.15,Industrials,8533759710,2.549506592
GLNG,92.5,97.97,13.32,67.93,Utilities,2429734703,0.808516163
HOFT,37.54,75.58,80.8,64.64,Consumer,206366279,0.756018976
ESQ,22.85,16.13,85.21,41.4,Financials,291151336,0.309024222
HSTM,86.47,66.44,84.19,79.04,Health Care,588685292,0.671705873
GTX,67.48,12.01,48.53,42.67,Consumer,436061263,0.760651951
FOSL,44.88,83.84,83.03,70.58,Consumer,534585968.4,1.982029865
GDYN,64.59,8.59,45.67,39.61,Information Technology,970168705.4,2.344104078
